"model_cfg","1 Month","3 Month","6 Month","12 Month"
"LASSO_No SIS_min",-0.1194597323587,-0.306777571239794,-0.546194147288262,-0.553479523265675
"RIDGE_No SIS_min",-0.1380901068133,-0.429902501881669,-0.553872607477715,-0.718511292444533
"ELASTIC_NET_No SIS_min",-0.1194597323587,-0.429902501881669,-0.486806787773701,-0.727819052534491
"LASSO_No SIS_1se",-0.1194597323587,-0.306777571239794,-0.546194147288262,-0.553479523265675
"RIDGE_No SIS_1se",-0.1380901068133,-0.429902501881669,-0.553872607477715,-0.718511292444533
"ELASTIC_NET_No SIS_1se",-0.114895448094961,-0.503198385021443,-0.553872607477715,-0.553479523265675
"LASSO_SIS_min",-0.117032870698376,-0.388395180976008,-0.546194147288262,-0.613924273154606
"RIDGE_SIS_min",-0.117032870698376,-0.296058036459713,-0.553872607477715,-0.613924273154606
"ELASTIC_NET_SIS_min",-0.117032870698376,-0.296058036459713,-0.553872607477715,-0.613924273154606
"LASSO_SIS_1se",-0.114895448094961,-0.388395180976008,-0.546194147288262,-0.613924273154606
"RIDGE_SIS_1se",-0.117032870698376,-0.296058036459713,-0.553872607477715,-0.613924273154606
"ELASTIC_NET_SIS_1se",-0.117032870698376,-0.388395180976008,-0.553872607477715,-0.613924273154606
